iso_code,continent,location,date,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,population
AFG,Asia,Afghanistan,05/01/2020,0,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,12/01/2020,0,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,19/01/2020,0,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,26/01/2020,0,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,02/02/2020,0,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,09/02/2020,0,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,16/02/2020,0,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,23/02/2020,8.33,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,01/03/2020,27.78,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,08/03/2020,27.78,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,15/03/2020,38.89,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,22/03/2020,41.67,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,29/03/2020,67.59,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,30/03/2020,67.59,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,31/03/2020,67.59,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,01/04/2020,67.59,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,02/04/2020,67.59,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,03/04/2020,67.59,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,04/04/2020,67.59,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,05/04/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,06/04/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,07/04/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,08/04/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,09/04/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,10/04/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,11/04/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
